ID	Qrel
1	soziale isolation
2	europäische integrationsgeschichte
3	mutter werden
4	altern auf dem land
5	naturbegriff und gesellschaftstheorie
6	geschlechtsspezifische arbeitsteilung
7	berufliche sozialisation
8	frauen und männer in der frühpädagogik
9	special education for the handicapped
10	teacher motivation on student performance
11	einfluss medien auf berufswahl
12	zerfall der sowjetunion
13	soziale nachbarschaft
14	deutsche entwicklungspolitik und staatsaufbau
15	intergenerational justice
16	vereinbarkeit familie und beruf
17	unbegleitete minderjährige flüchtlinge
18	kriminalitätsfurcht